Var1,expon_BIC,offset_BIC,mse_BIC,rsq_BIC,BF_model
0.6,0.610630892863325,-1.06378159249362,0.0203830233432789,0.813510870956013,1.4427397728397e-08
0.6,0.626519378475298,-1.05245610799268,0.0108451773094992,0.886621329195904,7.41731538615308e-12
0.6,0.629622667903409,-1.03792836480723,0.0124259722377061,0.864908487307983,2.49396737870066e-08
0.6,0.637901511159517,-1.03292954561384,0.0140174722879944,0.875504317363999,7.10691134618792e-16
0.6,0.642248177975466,-1.04012256192591,0.0177553024490106,0.838368468329907,1.35455016545244e-08
0.6,0.576017400490439,-1.25753527794003,0.0131118344040833,0.881791934657176,1.86316791723283e-14
0.6,0.717444674906865,-0.878671039004439,0.020322908421458,0.837803618363489,7.77637250048265e-07
0.6,0.766729963358789,-0.902691648322147,0.0204120873085823,0.856904394250252,7.42094929687674e-11
0.6,0.540667514713647,-1.13787793095282,0.0189357429701962,0.843108254288109,7.83653568856267e-16
0.6,0.643384532678166,-1.04557529425367,0.0160533122679345,0.868420315290559,4.65507342942313e-14
0.6,0.562692954047126,-1.11831438599368,0.0129083711312815,0.859671269130307,1.43463169240607e-10
0.6,0.278213204976901,-1.66328944539411,0.0134243039081863,0.866146550861844,9.31203821545513e-15
0.6,0.643117227545844,-1.04972716597073,0.0144011555458234,0.870753315923588,3.48379653859616e-14
0.6,0.547968945378795,-1.19010468085835,0.0179873952459025,0.827552534852354,2.25142703720326e-12
0.6,0.625970388239004,-1.05138173503211,0.0182393645961191,0.834043609182884,2.39050334604666e-10
0.6,0.660345336297774,-0.956955193037567,0.0142935550365633,0.87621151808733,4.43294088676833e-15
0.6,0.542513732946906,-1.15587171819837,0.0127354414286783,0.866487947175968,1.44959395678573e-13
0.6,0.553985839409566,-1.14718803662228,0.0132354812976344,0.849048826616878,1.51482006547342e-12
0.6,0.58276345444696,-1.07845960405748,0.0173729386103509,0.842772832259829,1.52047886560012e-10
0.6,0.560553763138532,-1.14526001952781,0.0161181090234281,0.852938337590559,5.20511459596759e-13
0.6,0.65708471276466,-0.975385671538964,0.0184148716029261,0.852335348342731,3.65114090856005e-11
0.6,0.550154148638734,-1.13459525304481,0.0116704059613198,0.875766753384696,2.17427071613489e-16
0.6,0.725056662339726,-1.0920566866681,0.0120340942710734,0.896461513210228,4.04110107138911e-15
0.6,0.513825932428148,-1.23023435532929,0.0174148875796565,0.8468509512555,3.15325429292715e-16
0.6,0.461770136384321,-1.37704740061841,0.021169729352586,0.83234135596512,3.22403320772456e-11
0.6,0.465243177254285,-1.33282485908847,0.0161287489111032,0.860841356394347,5.15550728475766e-13
0.6,0.658106672752503,-0.984305114947227,0.0181328646872107,0.846928229248678,1.49792729141529e-08
0.6,0.613063730294884,-1.09852295950033,0.0188234663414661,0.858838917912555,8.62960404837632e-15
0.6,0.32855172096751,-1.52814371064126,0.0183724399166412,0.821852193527001,5.0777940714204e-10
0.6,0.683658300620574,-0.984694592520117,0.0144612422571229,0.874205942589345,7.36073305570693e-11
0.6,0.740034937043778,-0.923086234872656,0.0163982736179022,0.86885293666917,6.64715649839987e-08
0.6,0.590175617069667,-1.0812614276904,0.0185735370500894,0.823576068353187,1.28149443395738e-10
0.6,0.628958752311476,-1.06575395843513,0.0173429272328802,0.858545853635066,1.34071299503811e-15
0.6,0.702048165191883,-0.996446787188515,0.0208900092016309,0.855032066197038,2.80052178283408e-11
0.6,0.610143077259054,-1.07337905089745,0.0149324303649165,0.86908926265566,5.44181832648082e-16
0.6,0.646120467790002,-0.997365555891766,0.0135423271652026,0.875181634001265,1.49279951499915e-12
0.6,0.512722017177959,-1.20966219716847,0.0106939425263427,0.893931392048937,2.27330861903457e-22
0.6,0.770630600319372,-0.846070143665905,0.0175678161397965,0.852216606897562,6.73810849292547e-05
0.6,0.655349449043948,-1.0025090394121,0.0123495948071922,0.896249425864988,5.6326619318667e-17
0.6,0.574391400620105,-1.14039067615472,0.0164554282977112,0.860878173845306,2.01737811051396e-17
0.6,0.642421575165965,-0.999063138579629,0.0160502296859608,0.850269699743311,2.29565833240597e-08
0.6,0.582858785025229,-1.10025696038342,0.0133299211199092,0.876040505420375,3.78006788366409e-14
0.6,0.582188216372646,-1.31138987230604,0.011654708993657,0.87993932682103,1.60929162843756e-13
0.6,0.647479632930753,-1.00101338666191,0.014980701427261,0.871839490267508,1.34383193840481e-11
0.6,0.618268376337329,-1.03794232626032,0.0133629704770769,0.881104512994657,1.23560068644005e-11
0.6,0.59295099347177,-1.03868089774862,0.0144514589139762,0.852056517771827,1.06048713629156e-10
0.6,0.779769934174678,-0.877864511210812,0.0167013331378363,0.870660827281355,4.51823036625701e-10
0.6,0.648678406249121,-1.01131746220158,0.0143934399708595,0.872380051525499,1.82074914157965e-12
0.6,0.528670171759748,-1.19810499896225,0.0165152880475917,0.853259482791538,2.55497802940731e-17
0.6,0.515145595695243,-1.1569017686245,0.0164570727369894,0.831081678429638,8.51004872818647e-14
0.6,0.587244682147674,-1.16981841497279,0.0196268796773882,0.810980605370546,1.69869695748292e-07
0.6,0.371995375145068,-1.41390087030205,0.0154721007641985,0.859291609084046,2.45361803513185e-16
0.6,0.581288472694862,-1.14377426897439,0.0104242788241919,0.90081305859718,4.14374065844886e-14
0.6,0.658717831320605,-1.04594975905804,0.0141710575938383,0.881867960533482,1.49824693140887e-15
0.6,0.519370650258394,-1.27604813006203,0.0170024278059351,0.841513109232816,1.52298408272977e-13
0.6,0.604099672265624,-1.08742454921485,0.0164017567417097,0.861144454895949,5.19060068770672e-13
0.6,0.53919592940479,-1.08371755572455,0.0209702582196777,0.767060767719694,4.0687516653405e-07
0.6,0.474269983413571,-1.21960138480243,0.0183454648266979,0.818976408567403,2.88850577244429e-12
0.6,0.645130126641012,-1.00631377358483,0.00744901379330208,0.92253728465759,2.3418051207637e-13
0.6,0.683389747327849,-0.960396297754226,0.011398449816078,0.903895622111439,4.18525206774491e-17
0.6,0.539797033401952,-1.16290026808872,0.0108714140169822,0.884427396592114,2.10250451774558e-12
0.6,0.521274063832771,-1.16634152159954,0.0127201510857458,0.873345192697441,4.22954694215102e-17
0.6,0.465531361143684,-1.29210306575579,0.0159442127224854,0.864848703323026,1.88418734355055e-15
0.6,0.673260527757584,-0.965510900484905,0.0175910799328213,0.856140160198163,1.10331883997312e-08
0.6,0.627143804157469,-1.08743596147892,0.011373694666421,0.908886169351917,7.16481276445879e-19
0.6,0.636098341009247,-0.966644875268776,0.016174558603827,0.85657579484398,1.71047956885282e-12
0.6,0.661274944300801,-1.31230239474655,0.018974353501948,0.796946993850255,4.51979217792895e-06
0.6,0.511305683403984,-1.21878223663253,0.0154465170480521,0.854265512320681,1.75815515891831e-14
0.6,0.586517357587935,-1.11380686365883,0.020639396420288,0.80451873718452,9.81856414107858e-10
0.6,0.510643218958445,-1.19645048513114,0.0182324429297373,0.817305471492639,4.24316813859588e-10
0.6,0.554187805217734,-1.1133602619343,0.0102694300031022,0.908780798690179,2.87799251304542e-22
0.6,0.667944492628139,-0.967505335541468,0.0109894164157428,0.893827560694618,4.26244068626545e-10
